date,ip 属地,评分,comments
2024-11-21,广西,5,十分值得去看一下上甘棠这个两千年古村，这里的古建历宋元明清四个朝代，让人领略不同朝代的建筑特点，十分难得。一个村能建一个博物馆，更是十分罕见。
2024-11-01,湖南,5,免费的古镇，能看到宋代修建的寿龙桥和步瀛桥，能看到许许多多的古民具，夕阳下，一切美如画！
2019-05-22,未知,5,上甘棠村依山傍水，山清水秀。古村落建筑群靠水一边，有步瀛桥、中瀛桥等几座小桥通往河道另一边。古村分十个单元门，与河道呈垂直方向向后延，每个单元内青石板小巷旁是户户相连古民居。走在青石板上，很质朴。
2019-05-03,未知,4,晨曦中的古村落，上甘棠村古建筑群保存完好如初，有特色的古建筑群，趣味性强，非常适合拍照的好地方，景色不错哦！风景优美，感觉棒棒哒。
2019-06-08,未知,4,这边真的是蛮多古建筑的，大多数都是明清时代留下来的，现在很多都已经是危房，不过依然可以感受到当时这边的历史，在这边外面也是挺好风光的，里面的房子有一些是可以进去参观。
2020-05-06,未知,5,上甘棠村古建筑群，建筑风格独特魅力，有特色，这里适合静下心来，慢慢发呆的好地方，还是很美的，适合拍照的好地方，不错的选择。
2020-07-06,未知,5,千年古村上甘棠古建筑群，有特色的建筑，保存也比较好，感觉也韵味，有年代气息，古朴、自然、趣味性强，静静的玩，静静的欣赏就好。
2019-06-10,未知,4,这边的建筑还是挺有特色的，有些地方已经是比较古老了，不过依然保存好以前的一切风貌，还有前面的小桥也是不错，小学一带是最有历史感觉。
2020-12-22,未知,5,江永上甘棠，湖南迄今为止发现的年代最为久远的古村落，位于江永县城西南25公里的夏层铺镇。上甘棠村是汉武帝时代苍梧郡谢沐县城所在地，上甘棠村属于典型的聚族而居所形成的村落，至今，上甘棠村仍保留着明代、清代的民居200多栋，具有典型的湘南建筑特色的建筑，因人口集中和建筑用地有限，形成了密集型民居群体。高大的风火墙，严整的纵深布局，考究的中轴对称，各户均以天井组合而形成住宅单元，具有典型的城镇住宅特点。依山傍水，座东朝西，是一个1865人的大家庭，至今保存着清代建筑百余幢，精美的门庐壁画与栩栩如生的屏风木雕令人叫绝。
2021-03-23,未知,4,上甘棠古建筑群还是值得去的，古香古色的建筑群，村前一条河环绕村庄，风景秀丽。
